0153A7AB 00B52719
01296AC9 0041AF0E
00E74CCD 0170A16A
005D38D6 00F3680F
00A83F39 029F40A0
0062EFE1 009AA22D
00AF2FF2 017EA18C
00B88864 00DF1C90
00789E1E 01665CAF
0054A341 00265CAD
0169A8CD 00FDD173
00CA2B63 00442CE7
0191FF1C 0214C8C2
01754E80 01E528D0
01A1B9D7 00A770A8
01B7796A 001178C2
02340DD7 0021820F
002D9629 01A61DC3
0045019E 0090914F
0041FE99 0182583B
00646D0F 011DEC87
00E7B609 0123C612
01B174DE 03E703E4
018FDEDE 00257427
02E71E37 03A5FB1B
0007327F 01F2C727
000DBDB9 00382B3B
00A3DB9C 01E0C40F
00EB0C2E 027A008C
004A86ED 0390F990
00D74C9A 008DAC7E
0149B350 00B2176C
012AE6B0 0104E386
016E086A 00F7F810
003BF690 00B8C6C3
00DB470A 01460882
00D9C9DB 00FC8883
005550AA 003B2743
01DED082 003E098B
03E5A5B8 001D5029
02C4E19C 0004A9EF
0030F0FB 03015183
001F4417 026A69FF
000C39D2 00A59056
020124BE 00F36B08
006C0B30 0011216E
00B4B36B 030532E2
0050AB83 0003B2F5
083A1F26 000366DC
000B2A8D 00F1BF7C
008B8EFF 00393FC9
00A1358D 024A1E07
009B8D6B 005D4F6D
00A5A770 006A8EEC
007866E4 0082808D
01594CBE 011734B0
01BB8351 0077C723
0121FB18 001448B5
000E66A8 00E7D39C
00B24ADC 00F0B638
0046B38D 04C0A285
01248067 00701AC3
002F8BC1 0167D7EE
0204B297 003A4021
0049C128 028F173A
009AA4CB 0035FB64
00860C48 005A0D27
00CF73EE 02CBB25D
001295F5 00C7F79E
00729479 005A4306
01B4C551 00E0ABB8
025A1B4D 0007B45A
02572081 0249DCCD
00AE369E 004DB390
0007DFB2 0016D6A8
00A92C62 026A5034
00B1D3F0 001DFA2D
02453548 00F1F239
0126CCDF 00C03D9D
0167835C 00BC1BD7
015BC4CE 0333EA5D
00550DCD 00D1EA1C
04ABF122 001AC820
007369FB 015D7794
00C3C021 016EAD47
0152CD8A 00841FAE
01C49F71 0013BB53
009EC27B 003B6F9E
024B8C25 015B6F5E
0180C9AA 0026D48E
011EA7C4 0028DC75
00E8E191 000F44B9
0021D020 00B55A2F
009F7815 00937D8A
00FDE653 005CDA9A
007B032B 003236ED
00B4133B 02AB0DEC
000174CD 00BFD9CF
006EE7C2 01E7ECFB
0103D189 00188ABF
0064DE83 006D8EEB
0011C375 0031CFDE
0068C842 018A6E9B
0020D4DF 009CCFEE
01B5B71E 0129CD75
004A7227 00079A7C
00335C2D 00050A8A
0098D821 016AB2CB
02A363DA 006B3FF0
00D4A139 017947C4
00BCC207 0284BC05
0031F793 008379EE
003A271F 0057F3F3
00253420 00A008EE
00357CDD 00257386
00FF7FA4 00239C81
0059A41E 0239F1F9
0048CFCD 03A42EFD
001EF152 008E9DCA
001A76B1 005A0956
01820D33 017083D4
017DE2F4 00AF4F1C
00254D0C 016D5EEC
0078C28E 01F488A5
01B0ED49 00B5F01B
0084DF0F 01551A56
00E4C9BF 00693367
00C5613C 004834C8
00095CF4 03B52171
00397BFC 009E1AF5
025BBD9E 01313CD8
01AB3F06 015AFE28
01937128 013E44A5
000C0C9A 004F7C94
0048C193 00C31520
0073B446 000FE307
01B7C7B8 00396747
009D2CF3 010DB167
02A50145 015D347A
001042F1 01DC9366
004E95BB 020E2DE5
01080E23 0316DAE9
00528715 000B0773
02FC7D9F 007C67DB
00B0A3F8 028BAD7A
0037CC37 0378F11A
01E4E0EB 00BC99A1
00C02C41 002B64F7
01CD6911 0032D635
019C3353 02152210
0105EA28 0017ED73
01353847 0082AE07
02D98574 0056EFFF
0114E73B 009C4254
004D4295 0019D13D
024B70A3 00884139
008E5F00 038D7E88
0025EDC6 00171F1D
01051D4F 0094CD67
00273CA4 001745D1
009E0985 009D3A67
003801AB 046B7055
00F253E7 0128AFB6
00C7B56D 00EB2423
02D876C3 0009AF11
039AA0F8 006D87B5
0277639A 00E71C39
03B95398 0128CEF7
003D01BC 00B97CE2
00FCBF22 0137907C
04ED7ADB 00AB5DD1
0114A5AC 000A237E
01358028 03444F17
012B2500 01221EB5
00575C01 002207AF
00EBED3E 002B6A9B
00DC7E9D 00BC23BF
0052EA83 005E30A4
003E8A07 008CA592
011EC613 011514AE
004C9B7D 00282DD8
015AE99D 03A0F60E
003E10BA 00A12174
0120B3B6 0176A08F
000D4D63 00B64337
00C73CEC 007F75C1
0033BDCF 00F25449
0060C29E 0006CE21
01770CBA 0016F443
00990E5C 0047EE36
0023337C 00330B2B
0168CFB3 01C65B74
0013F391 025674F9
026CC23A 00AC8638
008A7D17 01DB3E93
003B61D8 00998EA4
01005117 00B503B7
016C6DF1 00B7DB36
01B4B257 002A8AFA
01E80DFF 00B2A4A8
00A3ED96 01FCDDDF
0307CC88 00179BFD
015EEB31 00308B7C
01450A18 00D34729
007FBA3A 0040167E
01993BEA 00FEB246
00A6165B 015362EC
00818A7E 00E3ADDD
026C8DE0 0016B621
00554E25 007F48FA
002E2E74 00658C43
013AB726 005095AD
00FB9AD2 007AFD17
00DB1642 01AFB59D
008277C4 00E6B58A
0154A976 00B4396B
0024BBFB 00171329
00D9AE83 01AFE03A
0062696D 0076F495
01C46B49 021A1F98
017E4695 014B2F17
0113A281 0259A54C
00099514 02751B42
01CD88AB 0042A064
01DFB1E1 00E049BA
01CF602C 00CDD7A5
0070C137 00404064
020B5F57 012215C8
00EE0279 020EDCC4
01EFF908 009DA869
01AED86D 000B3019
014DE8C3 00423809
011987ED 0117845D
03AA8D04 00488CE4
00DB3D52 005102F5
01719CE2 0017F226
005E06CA 019AD746
010CBA64 00618926
03A1CB3E 00F5B64A
00833FD6 033DE0B1
00689F97 0236B9AC
00597231 001618BB
0073E170 018D2691
02934E46 02364936
024450F2 0144AD9F
02C6A0FE 010432D8
0260C7D6 00A6CB44
00564052 02D380BE
0006DC5A 0452CA9B
001425A6 00B8A4F5
0027C505 007000BE
00319621 008768A6
023B7829 01FAB461
0115D5C9 02DDBFAB
0029AAB3 006FDB73
0009E0A7 0065FD6D
003FBDE0 020DB3C5
00C905BC 003894A8
00338259 00EE79CF
0181A19E 03816721
0004DEBB 009A4270
00B3C1DA 00ADE768
022A2933 0028B1F7
000ECD93 00A039FB
01B668E3 01E18B6E
009630C5 01090E7F
01558D4A 01D8733F
0158724E 015DCEF1
0010AC09 00FFE575
006B8841 019583F0
016D2627 006AF346
0006D8D2 0339DEB2
00F6695C 003BE316
00B88082 00AA93D4
00061DD6 002E9963
00792799 00E2E0A4
0312012A 00003B14
00A8ECB7 00467218
00113D7C 00B58356
021F8679 02B980CB
0048E690 0120104D
01BBDCC2 08F4CAB5
00801AFC 009E8A1F
0146D210 00C1DF98
00239C15 00CD56ED
01A6FE8F 0019FF79
01B6282E 02E31803
00A2BCEA 00437B77
007FCB1D 00736D29
011E331C 02012A3C
04687F74 000BBA33
01FCEB9B 01020C1A
005DD437 0091EACC
015AD722 0030EE12
00333EA6 01881EA0
007482DC 008BF24C
01BADCD3 009BED0D
003A61D4 019C0814
008F4D2B 00E7AC21
00CB0829 01ED1D40
0027EE19 02322B47
0047182C 00407A84
00B709EE 00AEFFC8
01050229 015FE062
006C4C41 00247A17
018C5694 0066822F
02A3D4E8 03A8C2EC
01519550 0079482E
00BCBFBC 003D420A
0046A741 0414390E
00870A9A 001E0197
003333A6 007986E7
01A99A0C 008A7248
0130F6FF 000E2F6B
01E09839 008B9D2A
00FF20E2 001BDE0F
007653F5 00A5443C
005D3932 00AF74AF
000AE30A 00025122
04D1BFBF 00167900
016D032D 0147D200
009DB424 0033C2ED
01A96C55 0030BE4E
00274E50 039DC91B
006B724D 004A4530
000BF3CB 016813E2
00C422FB 0169B3F7
011429FD 00D3E912
02588A7A 003BD2DE
01252339 011022CB
01EAE351 008921AF
00055F10 02132732
005F097B 00059F1B
001E3B16 0092DBBD
00B62CF7 00702D27
028E620E 009F4E45
006C4F3C 01831E95
00008656 0054178C
00528597 01DAE302
019A3B34 0110D8F4
01C632B1 0087326B
028F01FB 00FA0CB0
0167020A 000ECA3A
01C795C3 006E20B3
02F3ED0B 002C0FC4
0089BBDC 00424FEF
043A954C 042C1983
007EDBE6 010BA6C3
00E66FD8 00E9D7C1
00560877 0595BAD8
01E9AA0A 00486BC9
0045E69A 008189D5
01F988EA 008BA559
03F78576 0139B4D8
01706583 014697A0
0056E5C5 02155EFC
0033F9E5 0055C640
00A621BA 00D5097F
0044E50F 0156556B
01283E8D 007849D3
0138DC91 00B30498
017451F1 00C2DBB7
001AE732 00444777
0061620E 00128505
039FE063 0006EAE4
0098C0A4 00460564
005FEA31 004AE24C
011699E5 00D5511F
015B69D0 002E5C82
00E2A414 020A9F57
00AFEF2F 0022D8DC
004D16FB 00B6DAFD
00203EE9 02E16B7C
0401F4FC 00C55E4E
001DF8BD 021EC2CE
019F3379 007F100A
001D2145 03588F54
00550347 0030F590
01A1B4A1 00A74B09
004418C8 0151AA07
0031BEEB 00C0FAFF
00AF0B54 0005E831
00C45873 0070DD90
0058FFD5 008B9AB3
002B8706 0001CF1C
00434623 003E5135
00221999 00E868BB
0016D1F7 00083E22
007F3949 00089AAF
01280B6E 004AC4C5
0035E86B 01434059
00103479 004DE1EE
0183A44A 0432C4B7
00102FA9 01B860E4
00DD8D43 010508B1
03700788 01CA20EC
00CA3E79 0032285B
0033D7ED 00428DFD
031835CF 008B467B
0192C192 019149E9
01135F36 00AEE74A
00621C78 007052C6
006488DD 0040E819
0119D9D4 00674079
00F6BF85 0103EA8C
0072A74E 00F2983E
00D53005 006990FE
005F3324 0347C651
0098B7D2 003117B2
0002E0EF 000864FD
00E1E71C 01C9E077
0275B52F 00446D04
002BCB5C 011FB287
00BF7121 01521A91
0010E9FC 0015C8E6
00EB6369 00E94694
0016DDDC 0004B380
0208AC54 014A71D2
004AA0D7 004B5505
03627ED5 0061B2E1
003FA8C1 00A2C4AD
00763163 016B5DF8
00B27489 00EF74AB
010999D4 0712B831
00FA89AC 001A9942
00F3B1BC 00A26D7D
00BCBDEB 00943F46
00D67D59 000B5537
04FA3D9C 007ABD45
01883324 01562449
020FC72E 01AF63B0
021E830C 001AEED9
00624AD5 00A01E8B
0068796E 00422D0A
0076F049 0028649D
0158F201 011EEE59
00292A34 0076EB7B
000AC836 00B54CF3
00050001 007CFE78
00887C67 00D08FF0
00C0A332 002A0440
03C59DE8 00E82AE9
006B2CFF 0017FFD0
0088F99A 0462BA65
0057D4C4 00A53275
0005D35D 00E31258
01108EAF 02C2ADB2
0018DD5B 002B09AC
00686AF8 00650390
00260FC1 000420C4
00CC6E67 00B3B829
0039287E 003AAF48
03BFE286 003F7F7E
00AA3FBC 00CF3276
019F5716 0027D382
00BC6580 00D00049
00050C35 0061D11B
00874883 00BD0026
005CF1F1 00376B3C
02C58D8A 00437ED5
001B225E 018A7A31
0015B333 00304D09
001A0EE6 016DE83E
007E60C3 0001FC77
0063E7D7 0024988D
0054A8F2 002E44FF
028B06AD 01395038
00B45FF5 0306FDB2
0080611C 00C18CCE
00013966 001D1038
0101AB2B 0093B6B0
011190AD 007CC526
050B219D 042EF06D
0024FCE0 01EFE84A
001B725E 04C18648
00BF0F36 009CC66A
00666981 0203CC58
009D6943 0020D059
0047E71E 0177E2DC
01636C9E 0084C239
00754401 000A6D66
0002E333 011FBF77
006C732E 00A40AA8
015A33CA 0021D704
00BF4E59 026C0660
025F228E 00488778
01A5E34D 020DEE64
00C09F39 01328FF9
03A12779 03656FBE
015A40FD 009C7A81
0057A9F9 021515DB
007CA846 0427C012
00293533 001D5C49
002CF894 01950EA7
015857F9 005C8155
008E92F6 011FABFC
005FEDA3 00343253
000CA65D 03083C99
00519B56 0024C2B2
00A7BD6C 00BD4136
00D7EA59 00066AFA
00B7765C 0215FDE0
002D5F5C 00A38930
001C902E 0000BF12
003F0CDA 013BB965
009798A8 00E3864D
0022476B 007EEE47
0012635D 01F151E4
00BE6DD6 0018F6C4
00D86174 00AF7CF4
0516A61E 014BC365
00CE6473 00529C17
005768E7 00095B56
027343FD 00D7745C
00AF11AA 0128CD3B
027A8E2B 00559964
00999359 019A8891
0048509B 00A3FB27
00BB2664 00111E47
01835A41 012092C8
000154DB 0245E302
0288F904 00FE9657
002CF127 001F54E0
004D6DA6 00D637FD
020062DE 01793946
01D793FA 002F2A58
00C2377F 009761FC
001F26AB 00166EE1
00975FD2 00ADC3CE
0036C9A3 00C11903
006AFFF8 003D274F
00252925 005AE49F
0061124E 00469EAC
00974F4A 0053A52A
016615D6 00B13B4C
005EE69B 013FF248
003DB0A5 009198B6
005D75A3 01338BEE
0030A077 00DD27DF
00EA9BB5 02569F45
000E2567 00C4AC41
0233314B 00047951
028E83D5 000C445E
011942F9 00FBCFFB
003529DC 0031E908
00108AB9 01E17969
017F5613 00714AD2
02B3D508 0085B043
00DAED85 00FD4685
00C10BEC 009F131B
00977DBB 0170DA8E
000561B5 00C11827
00BC44AB 00CAEAD4
03184D2C 00B00EE1
006E27D2 02096774
014ABC9F 01130E8E
003E00FE 0262A2FE
007DA34E 00524395
019BE52A 0120FB1A
012AE046 00D05FE3
01643BB0 000EBF30
012F112E 0032DED3
006890F0 012EC69E
0132908A 01721E40
01373618 01547C07
0005ABA2 005ECCEB
008D7F3C 00641921
00A0BCB3 018E7CEF
005A57E8 007F9960
0107F8AE 010C6FCD
02E439BC 01A7220C
00EE21B1 01148FDE
00568FC5 0140A89F
00B42BB4 006528C8
002B5005 005199A3
019AF0F7 0077CCE6
002224B1 020183F5
011F29E5 002B557A
015BD3D3 009F2671
0008AC67 0172D2E1
00400780 0004288A
0124AC3B 00B7E1C3
008D8469 0050F44F
00694337 028F92B7
0229EA6E 00DA7A48
008D20D0 0070DBFE
01802F19 012AE2E1
0003A569 00406479
0066E0D1 04F5F059
01F4004B 00057A75
00BC6154 027BF32B
019743D6 0131BCD5
0099C113 000E8FB2
00057A8D 01639021
00BB52B9 016F8685
00479374 00BC73E0
00D7D283 001C7608
00A3AD81 003D34C0
003AB441 0039EF2B
02A7F6F8 00C909C2
00944998 006AEC54
029C9E4B 00916F35
00042FB9 002F7A35
010DC060 00197172
0029D46A 0127AF97
00D345C1 001605E0
004029B6 0422AD28
00E4B69E 0288A53B
011BB8B4 00C02BF5
0050B004 00FB3802
00AF9F09 00115E68
005932F3 00916A91
00E46B3C 006555B2
000D4564 0059ABB9
02AD6DCF 00C56002
001FBDD3 0124023A
00DAF23A 00A95F1B
021E0BF8 0197F5C6
00506AC3 01382A37
002014C3 01F58873
0027AF3A 01B54E94
017577E0 05B63465
0140FE2F 00BC3A89
015C60F1 006CB7F6
0046FB29 019FA22E
019A728A 00D83916
00B4671D 0133389D
03659FC5 001419F0
07AB2772 01E4DF36
00B2323A 00248420
0018637F 00BBE1E4
02CF7D91 00294A19
0250AC2D 00CE35C8
0147A854 00455EEB
0372AE15 0111AD0A
020FFD87 01C9730F
000C1522 00BA856B
00F5A0FF 00ABE63C
0037A97C 014FC256
032EA437 0139028F
00FD59D6 0052E8F2
010BA8DA 0088DD4C
03039290 00D5F697
027E3465 01AA8C78
016E1E56 00236BAA
00040016 01565A20
003B03F8 002284B1
002E7EE2 018EA49C
02C91BA2 00D0CC61
00861275 01125BE0
002FBCEA 014B3113
016864DE 0062E1E1
004D4A72 00CC419B
003214F6 0190FF01
0067E5F4 00715345
01276229 02174F2E
00721476 015BC40C
01EFF6CA 00A53ACB
01269D46 006CAB63
014EEDE3 00249498
01E2569E 00104CCE
001EA3DA 007C5E2D
0086F909 0144F2B9
001D0592 005FB3DE
00BDC907 002F8A7D
00E53E27 00421DC1
00322932 008DB911
005D14D9 0062D4BA
01985B0B 0048E1C5
036E3FA1 01983386
008BD2EF 002838E2
007DAEFC 00196E87
02B0693D 0136F00F
005D039E 00047129
0680F3F2 004B2DC5
013AE526 0016D739
00F9EEAA 0313F329
00E226BB 0039CD6B
00E00FEA 002D11D7
011E07FB 029D0B27
005264DF 001BE0E9
01890DC2 0051CD9C
0070DABA 01B8040C
03FA1D20 01F72810
035441D6 02096484
0062D78D 00329ADC
00F77155 014DCC1E
026488FD 00CD1926
01455DDF 02CAB5F3
03A68D28 020A9DF2
00E294F8 0026B704
010A754B 010A8147
05CAE3E0 00233E19
018FFB9B 000221A0
0091115D 000F9D94
004A2DB5 005EDA72
0023F389 015BF19D
00093D1A 006E8EAC
003B3231 0121E5E8
010BBCD8 008B182E
01440497 00006AD9
001E9FE0 004BCD11
001083A7 010A1223
0021C903 0072FEBC
001E1AF5 00BBD956
005730A4 01E90DFE
00122E6B 02B449C4
003B4BFD 007E7192
00462A62 01EC95EB
008175D4 007DABDC
01A5C2F4 01FA03E5
016BA2A0 025A35DD
022548C2 00732197
0153D986 00991613
000D9D40 00D043CF
0165A047 025EEC94
0116D8D7 00CEC4AD
0003F877 025456AB
008ADA99 0196D539
019ED0F5 011A405B
004A3043 0324F840
007CE745 00EB50D0
008A9F5E 038DE2F3
0047A2D5 0003D128
0130C07A 007A0E5B
000168FD 02D40F97
003BAAD9 00F30A6F
020EA624 00140996
02235830 00677659
00CE5A45 01125D3A
0123B3C9 0122AD55
02DE46F7 00764338
026CAF6C 01850910
0036F279 008630CE
002B9A05 0038E1B0
001B4288 000D1294
00B985B9 03AB1A30
003EE948 000811B9
0025CDB0 010D257F
00F05A21 017F4967
01671E3E 04D1A6BB
00733BBC 009BDAE2
000CF2D5 00661E96
005EEABC 001F175A
01260E5C 008E0BD7
0040CFD8 02177183
02644BD1 00793657
008493B3 00BFA7A4
00F5E841 00402DEF
0011C35F 00002183
001C9908 010E5DDB
00F77E1F 037DE342
00991693 00A2733D
00CE01C6 028D0FED
002C592C 00DE7BA1
00A9F331 00767686
01A613AA 00B32931
00B17F89 000C4369
00CFFEA4 013D3155
013C9CAC 0158CFBC
0008033C 00000277
021B2129 02479820
00FD5F95 0013CA71
004FA702 00975227
002B1CEA 02436E92
009C42B0 013A138C
008BBC7C 00F55141
02064081 00E3633B
0091FA21 00BA0721
0013F595 000A8A1C
010C4729 00B847E6
008021AA 00D17E75
016476F8 0096A1AD
014CC303 016970B8
01D24607 00319275
002FB47E 022F8605
009D19F2 004301F6
01139C31 00F2D998
06E62B32 009396B6
00856652 02889730
00ACFCE7 013AA0C2
0090557C 00CFBA89
03C93739 00DB8165
00A627AA 011D84EA
0095E287 00442712
007D7993 00C7A82C
015FEFD2 027559AB
01228A3B 003B6AFC
00458FA5 02DA97B9
008E974B 01C6C662
004BDF7C 024FD521
0116D895 01049218
00825316 00BC98F0
0003BC86 004D2BF8
002D0EEF 00A68D60
0068B5DF 00339048
0117D64A 00D0CF5A
00D4D05E 019B7E5B
014A52CB 001F1D4C
00B65858 004418C3
00897EB4 015C2C6B
006DBD54 00EE66D1
04334CA6 016503C5
011D293D 0005B72F
021757F8 007D72CA
0171BF72 0052F10B
0057C8C6 022D82B5
01820B18 0033CC39
00D8B45F 00B4619E
0055A1F2 006788DF
01F7907B 01DFE26F
01283408 01BE4F94
01528B33 019278D1
026D843E 00863F5F
00897F82 00CC5CC2
009B9E69 005AC9C1
0109761C 00D5E093
0096BFB1 035400DC
0052155A 0047EF9D
0090267D 004D81A0
0043D1D8 01E5A70C
011932BF 000633AF
009FABEB 0201DEBB
01AC8C2F 00AA8A42
011BBF15 00092ACA
0043DB70 00212DC7
011265C1 006CA197
0225E2D2 007215E0
0282AEA4 0206C4A9
005AC77D 01E52279
006028D8 00817BDB
00A6684B 03055623
004CABCA 03C0D65C
003CFD4C 009F03B2
02BBEA41 0010DEFD
0163B277 02062752
0063639A 009ACF86
005BD28E 047A4845
00F441C9 01A5F4AE
0019D71D 0062ABC7
00227235 003159F0
007E8BEB 02140F12
0353559D 0078F68D
02F23E71 000D70D2
000B0CAA 000F317B
023831C9 019F1701
039B0753 01BBE456
01346A88 00C83CE5
00A77859 00005CF7
00D615F2 00123D7A
05CDB3AC 003FFFDE
0120A5F6 006B6C32
01013A75 008F0BBD
01967B1B 00677F37
00945235 00048F77
01490250 000098D5
004D976B 00B3A7F0
0171755F 00279F05
000EF68A 0030FEE7
003EB56F 00BF1C05
00F2A8C0 00A8AD76
0043A5CD 00FC26BD
00D17173 004596E2
029E0046 00C45367
01C56711 0098F97B
0150613E 0026E404
04453A62 01742CD3
0252B6E2 01BD2C43
0092DC9A 02133BFB
0026EC60 00554382
030017F3 00619925
008F636D 0018F18A
00BD5FEB 0027E643
03A14DD3 00DBCB47
014C56CF 0015D029
00F8F9F9 0086F1A5
01085631 0210BB07
01C80B77 016B59C9
003DB893 01A214A5
016728D6 039D4E82
007C010A 00380311
008E178A 000E7E28
006767EE 0137F1E1
00296121 000B913D
01371915 0289A215
0020C214 000479D7
003D5E4C 00938562
01BBEA62 0153F411
00757D62 0202702D
00DCF77B 023CE3CF
0018D56E 00344ED4
009F25DA 0151D5BD
00819939 00EAA78F
00809600 005FEB02
00C877EA 00208C70
04097685 0103048E
005215BD 00A69779
00069768 00D847C2
01753C12 00E78325
0213B684 003B63BC
002CD80F 0006885A
01AB09DE 0173F73E
00410078 002DD7E5
004FB7AE 002A5662
011967B5 00878BC4
00D88414 00381670
000C5A79 00780C04
009146AE 02EC82EC
0014B5AD 000B515A
00C0D2E1 00EB8EE1
0095AFC7 0011973F
0103F0DD 00AA4B11
01165F68 0114B53D
000D1D83 01CC1AE4
01483DEB 00E8DD7A
00982502 02433564
00B31996 007A3492
0045A5A2 001DEACE
00031575 0079EE73
00378A20 01495C34
0116F576 002A8DFD
0172A396 00EAC0A5
03A5A456 002E312E
0108A099 00A7FAEF
00C90945 000E7D9B
00D660FC 0059F0F8
0210934D 0255DDA9
0273A352 0048E348
022C7C20 01382567
003AAF05 0045464A
002AEC84 00616F11
0015570C 00858F09
00C5F189 05B30FEA
01832CB4 02C39BFB
035B40CD 020177C1
000292D9 009A005F
0038F1D4 00C8EFA4
00FB1CA7 00BA1EAF
00CB3D5B 00AEE442
006BB55C 0136449A
00FDB890 00089A2E
00249087 00A91DE0
01330D26 008C3DB2
0043D8B9 00A1601B
006196FF 0181E876
00279C26 0158E6A5
0151AC1F 01B82AE2
00BAAEEF 01315D27
013D3650 01853C3B
03140C86 02546422
01DEAA8D 0051570F
00379AE5 007C6938
01F212B3 004744CA
0112F593 00C5A44D
0171CEA0 000BDAE4
006CCA2E 01C629BB
027D9551 003C92AD
002E6C5A 00B6A499
0037AB1F 003A6D87
02B928A7 0258A5A3
002B8B14 0312FD40
00F7F882 003341C9
00A299EF 04F1C6DF
008B14FB 00C05495
0274552B 04A1EDB8
006DD8FD 011C1DE2
02C3E814 00C80955
00689C29 00A55DFF
007546D7 0182F0AC
000A4548 000FEC75
0056F761 03C60011
001B8BC4 00E64099
001B7B56 006DF9C7
00D30B0C 000ADB36
00DFB5AC 02BA63C7
0123E99C 03A1F0C1
01AEF4F3 0100B45F
0102DF7C 02995F8F
009CF18B 003B309F
02067BC7 00279D23
0016E301 024E2237
04DFB9AE 0050E7A7
0070D58F 01154B69
00055C25 0097E8C5
00DE21B5 00229D4B
0151195A 00BF7146
04286676 00497CE4
007B4B15 00035428
01890A94 001CB30A
00F927EE 0189A56F
00D8AAC8 0225AD89
00F0AC65 01CB75F3
006B714D 01935032
01B38E93 00D348BE
011CD293 020B3450
00A1E04A 0470ACFC
0054B1D8 00D72B3F
01B130B6 017962A9
0027FF43 000538A9
03207DDF 030031DC
004406B5 00CB9F1E
02A49B5C 00A873E2
004A0B2D 0004F02A
01B8A9C5 001D110F
000928A2 00BC4C01
005D4C97 00EEF4C4
00A9195E 01CBE9AB
017388D3 00B9FA0B
010DB5BE 0248A3C1
00ACE3A5 016F6706
00C1818F 00F0DFF4
01D3B841 014F8EDB
014018B8 006F1C8A
000DD286 0070E844
00169C70 01BC94D5
0054800B 00A80DF0
00BD139C 00700CC6
017484BE 00077256
000B6373 00203154
006843B2 0135B3A2
028425AE 029A8DE9
00880DC1 00E2C3B1
00BCA08E 010EDFFD
00056410 00929C87
00061A15 00C5BA06
00EA087E 0282F8E7
00CED9CA 00F697DC
00CA3656 00517684
011115C5 00CBA842
0028D04C 0026FAE8
00347F7F 0041F86D
034939C8 00CFC4F7
005A87B4 008358F6
010CC333 0074D7BC
012A47A3 01718C48
01CC112F 02D718DF
0027C466 009DED41
046DF56D 0017936C
01258F98 006BCDB6
02397408 00A885DD
014A2BC2 00338AAD
00AE8948 0035C441
0420012F 002CDA18
00817F9A 00423C23
001821D9 00155622
005AE7EA 00DF1428
004E2A56 015E36B8
00352000 0027DE95
01E37DFA 008F90D2
009C94EA 010AC3B2
00706F29 002032F7
01881817 00B71BD5
0165E9F4 00074CC7
00000BE1 0147722E
00B1724E 00A998F5
00F12C6E 002AC6FD
01219A89 001D14BF
0201BF28 001515BB
00D420AF 00650349
00B1A2AB 00522D11
01466461 0059D1CE
011CBD96 008B68D2
007ABF21 00512F87
012C9090 040BC0F0
006DBA47 01776420
00E70915 011A122F
0019C31A 0241A06F
00C58E4B 04F7E23A
00F8C87C 00B501A7
0067DBA3 017EB55B
0016EE9B 00A555B0
009B0FB3 007373DA
00F48ED5 00DE4E75
00A633B1 00D4973F
00576D3D 014D349D
00FBEA00 00A57AB9
007A319F 009E4DFE
01C777D9 00636708
0061FDC9 00CEDECF
0021E2EF 000472E5
00216678 0242B13E
016C5010 025AF53D
014FCDC0 00F760F2
09B68653 010A253C
00541AB8 0292BB8D
00F292F0 0080B8A0
000CA4B2 01306EB8
0062736C 0216903D
01873108 000BC861
00E8ECE7 00525F1E
00D6C987 003ECFD4
007096AD 02EA9B6E
0006FEE8 01DCD666
0142262F 0059E327
01F01BBC 0006ED4F
00BF71A0 00B11218
01DEEB9F 012FD285
002BEE6A 00A55611
0139D9A5 02CF268E
027DC143 0026E720
003B813E 0264A666
00848312 000D2A80
00AAC403 02962AD2
00D9E2C3 0475BE0F
015105B2 02098301
00415457 00043BDF
0056FE85 0015653C
0015272E 011BC2CB
001AB34D 028EFF2C
018C492B 004B8412
00281A84 00E4E4A6
00335378 006A2ACF
0020EEC2 00F34493
00460C7D 01DEA4D3
00D70131 003BEA5C
01F30F00 002C19FD
00AEC54E 000AC62E
004CD2D2 00F6D9C6
003D18C0 02004BB5
01174DFC 00499103
00278451 00405DA0
014B8C0F 0208DD7F
0148CD66 0009E1BD
0067D199 00AEDEB6
04100269 00CABB9B
00183972 03E5FCDF
01850B7E 007415FE
0034F1F6 01F28318
0034E820 00038CBF
01BD39C1 0105F21A
0233F51F 02D0662F
01D910B1 0360854E
0073F604 01FED5EC
00905813 00E1EFE6
00BB2BF3 005C9397
00C12C8F 01430431
009E4029 02A6DF26
03A16CB3 00D17D4F
00412BCE 00EA8AD3
0007D1ED 002218D7
00D9B783 021CB9B7
011445F2 01BAB892
002BA8EE 002CC28E
00DD7E26 015BAC5B
017EB836 0095E5FB
01658244 003A9EED
00E0EC49 00B6BC29
00B0B5E2 00ABC29B
0137B908 002DD6E8
0040977B 007D6A82
018891FA 00D36676
0130643A 01C1525A
0166810A 003ACCB9
012E7B0E 002CA7CB
02033229 02747EB0
00533C35 007BC030
016FDEC7 02AEBFB7
00A34113 001694BD
01B673D2 0011CAAB
004C7553 0025805B
00079C19 035EA225
00C49CBC 004C4D51
00511DFB 018F6B65
019021A1 000FB26C
002E358B 009C6F32
00C4CD44 0184275C
02E6EB9F 00077DF3
00BBB604 0163E313
001BBB7F 00EF122A
00451785 003CFF1C
036E5C12 00364A85
004204E9 0040D07B
015F9637 02C92DDF
011B4969 010C5539
00225F4C 0145D6C5
003080D4 00037AA4
00437B48 002CA7F4
024E3335 003B248E
00FDE035 005820BE
00494E0D 01F91CC9
003FF40C 031D4D85
0003401C 009715F1
006D8479 0233025D
0087032F 017D29AD
