01B4 1014
07DA 01DC
0223 0553
0AB0 096D
0B9E 153E
2D9E 0B9F
1216 0171
07A5 2EC9
2195 014F
2D7B 213C
0F07 0658
014A 3ACA
4C44 179E
0038 0678
1D07 0420
1AC0 0C14
06ED 0866
0F32 00CC
1B3F 1CE2
1F32 036D
0FB3 0D15
03B6 0201
01C0 1665
001B 275D
0C85 15E9
0602 2169
161E 035F
01DA 2E67
2891 03B3
0FC7 21A7
1B4E 27B6
0CE9 04B6
12DB 0044
0150 02CF
188D 082E
0B49 0F99
0A6A 0F50
10D2 0436
32AA 018A
47CE 3849
0391 0C4C
02BC 307C
0712 25FB
061C 2BF9
0C88 0AEF
132B 08F4
02F4 05F7
1418 3750
1AAE 15D3
0E8B 1CF9
1007 05E5
297F 22BE
0680 0153
5091 1E28
0DE5 0D37
005A 1602
1F9E 1117
2166 07B9
2EA5 0A90
4952 2859
0CC8 07B4
00C2 2E75
290F 0067
0038 0932
0B61 154C
0A86 0EC5
090E 0767
1741 10FD
0CA6 0A89
0070 171D
0122 06ED
0292 08E9
01E3 039D
0422 1322
215C 0B52
1E2E 0CBC
00E0 1BD4
0BD4 0054
04F3 2931
0BD4 2BE5
2017 2EC8
0C22 5174
0A8E 3AF4
06A7 0279
51BE 0CEE
33BC 092B
0599 11A0
01D1 0665
0490 063B
3049 08F1
012B 1586
0019 043F
009F 0F11
1AF0 12C8
14C8 01D0
030A 120A
029F 0550
061E 0D5D
0CCB 0232
0F11 02F9
162C 0200
06D3 1F26
3528 133A
08F6 0C77
19BB 1073
0B88 0860
061E 0023
17F0 2616
2643 135D
3451 1417
147D 098D
06CE 0A42
0147 01D3
0E73 0094
0A9D 0512
044D 089F
1B91 1F26
008B 0610
10A1 094B
0D24 68EE
00A0 034B
118B 02CA
05F6 0987
17E3 0D7F
099B 142E
0019 08E0
0B85 2142
008D 49CF
01D5 1E81
02E8 0463
1548 097E
37B2 1752
0799 2DA0
085D 0F30
151F 09C7
014D 0B79
0CD3 14EC
07AE 1AC6
06A7 0124
1730 0DEF
0A18 072A
065A 0A9D
040B 0903
0717 0C72
021F 0E2F
050A 3228
0AD4 0839
1D5F 02C0
0A62 0191
195B 181F
110A 01BA
0944 12CB
0B0E 1AAA
1405 0D2E
02B1 1469
0349 4104
0D8C 07BF
00F9 1678
16C6 06B6
11DF 06B1
2D31 3A0B
006E 026F
1D30 07A8
0095 3374
0354 0AED
21AB 1270
0269 1FF1
2A3D 14C1
147F 167B
0C39 036C
0B16 1749
1808 1E6E
04AF 023B
0119 0189
1631 2422
033C 03FA
0740 0923
08A4 345D
0C3E 01B0
01AE 16F7
0771 0124
36EA 16E5
02B7 091B
0FDC 008D
1852 04AC
1CC5 064B
043E 01D6
04E8 0F5E
131C 0359
082A 0BE6
0546 0DB0
0899 0029
01D9 1166
009D 64A5
0634 0E9D
0CFD 0D6D
02E4 0A01
0F9D 01BF
0021 01F1
0311 11C4
056E 063D
0170 1D1E
0225 2F61
27A8 0EE4
02EC 15D1
0625 186E
0564 2053
0E30 00CD
5C1F 0CCF
4C32 1F5A
083B 015B
029A 0C8C
2A50 0193
1B23 0654
0540 1942
06B3 019B
203D 10CB
058C 0DF2
3109 08C4
0293 0A7C
00A1 0EE7
1857 1D92
0196 0AF5
253B 022B
07F2 0DA5
0D3D 269F
08C6 028E
123F 0078
0001 0B29
120B 10F0
0D25 162F
109C 0184
0098 19BD
265A 0146
04D1 0256
11DF 03DF
0324 0719
06F7 1275
0337 0F2D
0751 006D
1482 0186
4B73 210E
1E15 1D35
18E2 1AB1
0BE3 1183
150A 12B9
1AFC 0173
119F 1ADC
0A7D 0C34
1B5E 547A
030F 01D5
017F 09BF
081B 04F9
019C 040C
1BA4 039A
1A47 2AE2
1EFB 005D
18E6 0065
0F9A 0EEF
070D 0017
1348 0907
2243 07E2
019E 03A1
51C2 185C
0980 09F9
09DF 02A0
0197 018E
046F 1AF2
0A28 0238
086D 145C
2FFF 0536
3175 0619
2D5E 1796
4504 1135
06DA 209C
07F1 0053
137E 28CB
0C9B 05D8
0849 01CA
03EF 8874
0CEE 05D7
10FD 048E
1055 0392
0FB3 0333
0207 0729
217B 0979
0733 1245
2022 25DC
2C01 1C34
0864 1AE5
00B8 0A2D
155D 04B0
15C8 04CE
1395 040E
15D3 2F9F
3E7B 0084
0B06 0CDE
0125 03BE
00B6 1CC5
0265 01B6
0B17 00F3
10B5 09E5
0205 117C
0115 0382
030B 0D50
0450 00A1
0832 054D
18B8 01F9
01B3 13C1
0A03 13C1
0A14 0E50
1457 0010
0120 0A61
22E5 0041
070B 0F63
3266 1F80
2449 024A
08F7 0628
0CE0 10A5
09B7 0074
1230 0157
014A 0A72
171F 2BCB
0678 0BD0
1224 0639
208A 0221
0276 09BD
066A 05F5
0AC1 14AA
0A12 07B3
0C5A 006F
01B0 22BB
0246 0774
00C0 1021
0D9A 3204
0968 401B
009F 0690
0C45 20A7
04F7 0F14
0263 0854
093D 038C
1588 0DA3
1B3B 1934
05C9 0387
01AC 0123
086D 015C
1AAE 0138
1B6D 0F3A
08C2 1CE3
0756 001F
2F11 13FA
06AA 1444
043D 0723
1B27 179C
0843 0FC7
2243 03A3
382D 0F7E
004C 0A03
2154 1B75
025F 0E4E
0CDD 109F
01D5 0798
090E 09BD
0A47 0FC1
02B9 04CC
1C5B 446F
21C7 1402
00DC 05B0
19FB 275C
051A 05AF
0910 0B93
0BE9 09D1
1389 149D
08CD 0786
0AB1 1220
0017 11C8
03F2 015C
0158 010F
062C 18A1
2707 01FC
0CD9 0918
116B 10F8
0BB2 07C5
0794 0CEC
3DBE 0D11
450A 043A
02C8 2FE9
0DA2 01BD
1690 0CF9
291A 0153
11DE 0180
0C9D 0B2F
094A 11F5
0285 0B3E
1EE1 0D9E
0A46 47DC
14EC 1A4C
0966 1439
14E4 003E
0A91 06AD
1988 168F
0F83 06D1
2F38 12BF
0CB0 0460
1919 142C
04EA 059C
06C1 4B25
1F3B 00AE
113B 1614
031F 1026
15ED 12CE
150F 07A1
085C 24FC
0171 00B0
0AD9 0591
035B 01B6
0A2D 1CC0
25C7 0B83
12E2 12B5
060C 0199
0B03 06AF
030D 036D
03C0 0DDF
0D82 02D0
0306 1642
0A7C 022D
1164 2604
0256 21F0
489E 17DF
26D1 0E3F
1946 0101
05F8 0FFC
0020 16AD
05A3 03A3
05B8 053B
1528 0D03
05DE 2930
349E 1985
1D09 2E86
07E5 0284
0F49 1784
17AD 1668
2EAF 05B1
084E 1973
08B4 0621
035B 00DC
0C64 13DF
1B9C 0475
1727 0FA8
1164 0925
0FC2 319C
0CF5 1326
03ED 401B
08A8 177A
04E3 00F6
0822 0293
11EB 0537
1331 02F5
0316 07AA
054A 52CA
2A7E 166D
0E4A 2EA3
03DD 0109
0616 011A
0545 19DF
02E7 0204
0689 060C
1210 05A2
0298 085A
020F 08B9
169E 0A52
2D37 01C5
0B1D 2184
0895 024E
04D2 0C48
1E2C 0536
19F7 131B
10BF 0289
0F42 19C9
1E16 046B
2E9F 04D5
0268 043D
0F80 0817
500C 1975
0DB4 1086
15B2 085A
0242 0C2F
0B7F 005B
07C9 0843
1321 0520
1C98 153A
0AA3 0752
02B1 0E22
02C2 1720
143D 0C39
1933 2597
10FB 1C34
007E 291C
00BD 2FD0
123F 0C33
0A17 0DE2
3C6E 00BD
1897 0791
1E0A 13FC
307C 1133
04E7 062C
0265 19FA
0FD4 071D
135A 078E
03C8 106B
212C 0C13
0711 0BA8
1643 03CE
1792 12BC
39CA 1080
151E 05BD
05D5 0937
1F3C 0B0A
06F6 1510
2872 1367
124D 08D1
2659 088F
0257 3003
030E 0343
0240 2260
10B1 1894
1180 2183
1815 01CE
013A 1BC0
20A3 0291
117A 0BC3
0BAB 0AA3
3249 11F5
23E6 039C
01E9 0F29
0436 1388
09ED 198B
09D7 10E2
021A 075D
0A69 06BB
0B01 2E9C
044F 0C47
0E58 0496
11C7 153F
08ED 0F3C
0384 1195
01E6 0859
05CC 0315
068F 004E
09E1 1564
0143 15D6
0172 022C
060B 04DB
08FE 2A46
1152 02BA
10D6 0187
3F01 10D4
0766 04FA
2550 3044
0871 0E84
0688 1BD6
163F 0AED
06D0 0243
0ED5 06B3
03C4 13CB
109E 080D
1756 00DC
0725 0481
1D4A 07DF
0EF5 00CC
1410 079A
034C 2884
015E 034C
0390 1B0A
07FA 09E9
07A0 1AAF
1F96 0919
1323 03D4
146A 1621
0727 189F
11BC 046C
0442 01A1
1ECF 1105
0045 33D9
16A3 07CE
58F5 0DE6
0275 3F45
08F2 1F58
2020 0544
1EFB 02FC
0A61 02B3
09E7 0BBA
31E5 00B1
125B 09CA
087C 0206
0972 09D9
0EC5 0728
0A2E 03B9
2502 069C
05F8 0A23
0D29 1752
0CA8 0609
0EF4 13D3
0AC4 382B
5DDB 0092
08D4 0D40
24AD 044C
0D31 030C
1A30 021B
0526 0E09
10B0 1A8D
1771 0184
02E3 01AD
3F03 1604
0404 1C0D
0087 018F
0D5C 2A00
1187 092F
2203 05E3
31BB 017F
0E16 1BE3
3004 058D
194E 0180
02CA 1CBB
0F2D 0343
026D 31A6
13DE 099A
00AC 1A52
0251 0B5C
01B6 15ED
16B2 0276
064F 0164
0702 176C
14FA 46C9
2A7B 0399
085C 0380
0F10 2F5B
0E56 19EA
0499 23BF
1D04 2A7C
20ED 04F5
370E 082C
434C 2A57
0384 3E1E
095F 2F29
0EFC 0FD5
0565 2468
0128 056B
1A00 002C
055C 059D
231C 0472
0C6D 030A
016A 08E9
3FEC 1080
0028 2660
0080 0D63
083B 252E
02E3 1200
0555 03B7
06FA 2F0B
0DE7 005B
330B 039A
01E9 0B18
08C5 1562
0A89 05B4
3D03 076C
0720 07B4
0CE1 0106
0115 2331
04F0 414E
3C25 0402
06FD 0959
041F 1BCD
1024 10D4
1314 06E3
243A 02C8
0E04 6BB1
0532 0168
0886 05FC
12CF 0482
0417 0008
287F 09FD
0009 17FE
1120 09CD
1865 0BF3
1C19 03F4
0BA9 00E1
00E0 04B0
1C0C 0403
07DA 1F81
1197 13BE
2D79 15D6
0D54 03C8
0226 1A2F
2A0D 04EF
08DD 140D
0BC5 0808
1E1A 1014
10FD 0D0F
15E9 088A
0C8B 1A99
30D2 1876
01E1 0199
0141 0323
0C94 2924
2D99 0031
05C1 3D16
11F6 02B3
03CC 0373
02FD 011B
0A2E 1613
0189 0903
05EA 0568
0EC9 012A
02F9 1220
0F47 27E4
16B9 1A65
01E8 23E0
02FB 0642
0039 0719
0D33 099A
3F12 0A36
306D 0C1B
11B8 0F20
3B01 1153
1810 0BF2
3E70 0030
01DE 16B5
5704 1A9C
17A2 178A
0E80 14F9
0884 1A35
0022 114E
3EEB 052D
1783 0684
00D0 1BD7
05D8 06DB
2382 0289
0245 1481
14CF 0592
041A 10D8
09E5 0D7B
198F 06E4
088A 074E
0724 3302
0713 0128
0C6F 02FD
0EDE 06BB
270F 0646
163B 0801
0834 25E6
13A5 2C0D
05B3 05AA
01F9 027B
336D 0E52
1F5A 374A
0068 0B4B
1993 0C6E
1599 10BF
0005 00AD
0968 134C
322D 1C3A
0130 0665
12DD 1127
2C7C 0FC6
18E4 0932
03A2 0063
1304 0326
1FF0 01A0
3B56 0DE2
0391 0ABE
0F25 06D8
1B43 26D0
0142 182D
19E7 0906
38A8 0892
0085 01D6
2C34 0462
0139 368D
24BB 0615
1888 1264
1865 0971
0C08 2053
05A2 0229
1A9F 0B92
04FC 15FB
18A9 0010
0504 031D
2694 00A0
1BFF 1510
37B6 288B
02C1 0C0E
222C 1256
015D 08CC
1930 0978
06D9 0E39
0F7C 17CB
02E8 0611
0955 14E2
04D1 1081
01A0 03F5
0074 0623
033F 125C
1B91 03B5
059C 0511
0569 1836
0669 123F
0D2E 0F0D
30AC 1836
08DF 0670
051A 0374
0031 0A28
2124 0565
0203 0497
080A 06AA
09D9 048C
0913 240E
0295 17A1
07AE 0EB3
0153 1554
154B 07ED
303C 00EF
01EF 28DD
06A9 01D9
09D6 0867
2589 0091
1A56 2FFD
06F9 0056
01B4 0DEE
2FE3 091F
042B 0108
16A2 05BE
1444 12AA
0EC8 0151
00E6 05CC
14E2 039B
022F 0A37
0867 118D
0285 0D19
0656 2A39
0BEB 16A8
02BA 1A39
0D54 0ED4
0019 01E7
1412 0839
1DDC 0D27
0582 28A7
1928 0291
3F37 253A
06B9 0291
3762 0489
046A 19D6
1CD9 17A6
00B3 0138
13DF 4361
18AA 09E6
06B0 2997
187E 0DA7
3278 0EC6
00A7 06AF
0977 2284
0124 0492
0AAA 0B92
005B 3373
08F2 033C
1BF5 0704
04EE 11EC
06B2 0F1D
42BE 00B6
0617 2A33
11BC 25CB
0D53 081A
01DB 1CB0
0202 1D3D
3017 075B
0810 088C
1471 09B7
2BCC 15AB
026E 1201
099F 056E
2C6D 0B8B
02B3 0655
069E 0975
3A56 03B7
0E62 0098
2075 00CC
08FF 026B
31F1 25AD
127A 1291
0928 03BE
0D8D 0614
0F73 0C26
019E 0131
0034 051B
0DBD 03ED
251B 384D
06FA 0C2E
1E6E 0BB1
19CD 2271
0B54 381D
007A 22D3
0631 288E
1350 1D5F
0DBE 039A
0B1A 026A
0519 1F24
1326 194F
2B8E 153C
06DE 057F
2692 0528
1B9D 10C4
067F 11DB
08C4 01F1
0DD4 0426
0CCC 00F0
07D5 00AE
1CB4 0F28
04DF 29E4
0CDD 0090
063A 0648
2EC3 1785
2794 0207
0454 0B70
0021 082B
0682 015C
3D18 0659
0623 195E
1371 0170
0463 4891
3DA5 4759
0B16 075B
0BA0 18AC
0622 04B1
0E20 14BD
206C 11CD
075F 2346
0A6F 0258
0886 2265
1456 0FCF
0DF8 1197
0925 0AC8
0803 2D6E
072D 009C
027A 041C
0ADC 08EA
2FCF 0BFB
0490 0B1A
06FA 0128
07F5 06A3
0741 07C5
68F6 084B
0064 0533
028C 1DB7
00A9 03C8
106C 1106
09C6 0DD5
2439 2917
05C7 14D8
0576 0D59
0BDD 04A0
0608 05E4
155D 1286
21D5 0036
0473 2737
1B50 02F7
0AEF 05B2
0392 0E43
0E68 14CD
1BA5 12F1
035D 1B77
0C7C 1490
127D 0453
1809 2619
128F 018A
0873 1606
1D1B 2216
082A 12AC
049A 1826
043E 16F9
0B1D 221D
1CB4 12E1
081E 1580
019E 2057
09EC 059C
013C 1ACA
076D 148E
09D1 0507
01AB 0157
0BF5 016D
0161 01FD
0CAD 19F1
06CA 0984
0943 15B9
04B7 06CF
06BF 00DA
0211 08FC
022C 1041
0A9D 066D
03CA 0BAB
18B7 018F
06D7 2DD5
0B66 12FC
0050 0267
1125 1191
01B6 0BB2
153F 0936
215C 0C01
0729 10A6
1613 0628
0442 0E86
08D4 0A1B
13FB 0BE4
15D1 0194
0D29 0233
01DC 2ADA
2FB6 1345
07FC 12CB
005A 03A5
12DA 0491
0740 071B
0B10 08D2
0265 090D
0C0F 0699
104B 022F
0B43 2244
038A 01FA
08B6 02BC
09B8 1690
4864 0519
1771 09D3
12AA 017C
02C1 02C8
4212 0094
011F 01B6
05E6 237A
02BD 04A2
0910 0341
2F4F 16AD
1178 0CE8
07B1 1CE8
0EAE 030D
17B7 0CBA
11D3 0D06
05D7 089B
0D42 20CB
04C6 04E6
0FE0 021B
0551 102F
0B51 048E
02FE 1428
056C 055A
1F8B 0CA3
005D 0F53
06AE 136C
0D2A 022C
0166 02EA
1603 22DB
06F2 0558
1645 0B85
0C3E 1834
2B96 0370
0315 0DC7
12AC 07FF
079A 0416
004C 1218
1B9C 1BB1
06DB 00A4
31D8 22B7
180A 0E2E
099F 3488
0CF7 01C9
006E 00B3
0485 103C
0832 21E4
2E3C 10B0
2209 01E8
1071 0137
0313 08D4
0C21 0126
150F 0714
0655 0BA3
0975 3BC5
0489 0472
076B 162D
1C48 2410
0161 2E67
04F8 0A06
3224 0BBF
0A82 0756
0103 07ED
0B6A 0CF2
28AE 0173
0517 0859
09CC 06EF
0FDE 11FE
0743 30D8
0571 1E36
0A41 0430
032B 30F1
0412 01C9
014F 1541
0257 3FA5
0920 023D
0222 1AE3
012B 0AFE
32E2 05A4
0A10 06DD
101A 3B12
00A8 2E7B
01DD 032D
221B 1334
0769 13BE
1866 0C7D
0B7D 292A
06A5 077F
01B9 13D1
0305 2D94
13B6 0804
08C9 144C
06AE 09DC
002A 0E22
0B4C 06B4
0A97 1284
13B1 0233
21FE 007F
0631 0650
0D8D 020F
0D45 04E3
14A7 19C3
1A79 09EA
054C 00CC
1FEE 05DD
191F 14A3
3038 13F1
0A9A 006E
0295 0F1D
2363 1435
04C1 03AC
327E 1ED8
1114 06F9
01BD 0EDF
0D1D 1518
1598 440C
2B6A 09AE
07B6 075F
10E5 1BFA
08A8 2795
0008 17FF
077D 050A
2680 25E7
1005 084F
1ADC 02F3
1411 2347
05D7 0910
05EC 0FC6
2120 0840
03C6 1215
006D 0C23
0DA0 25AE
0B83 3225
2B76 0770
2B13 01A8
09F9 012F
0543 3670
10ED 06DB
047D 13B5
3DAE 046B
3999 0264
2010 1B2F
2125 047B
094C 0015
19AB 03BA
0438 0F86
1AD3 0357
08C7 0DDB
36E8 0673
031A 100F
0057 0433
520F 022D
1FD6 22B9
0176 1900
0616 20F9
13D2 0F80
094D 07C5
3A0A 12F2
0691 03CC
03F1 0528
0230 0011
1120 1683
1FA3 0C1C
0071 0199
0F29 0583
022C 07B2
02E9 01BD
0836 595F
149A 325A
02AE 1209
16E0 0B82
0CCD 7F4A
0BC3 0D7E
0A5B 11C3
0754 02E5
0AED 0A9E
06A5 032D
00F1 00C2
0E4E 07A6
1381 00F8
065E 0E9A
0049 1184
0431 0AEF
3386 09CA
0375 2461
0336 11DD
00C9 1293
1C26 15F0
00D1 0729
198F 0368
0460 0689
12F3 040B
22A5 0318
0B69 03AD
0AFD 1450
03AF 00B9
009D 04EB
05F3 03C2
0527 0D13
0B1F 19BD
3B93 254F
0373 0D81
0B4C 04F6
0D93 024B
130F 02D5
07D1 06A4
0503 3DE0
413F 0E25
093D 126C
13A8 043C
0254 08B1
042F 0117
1180 1453
1280 028A
0C87 0535
246F 14C0
0683 1524
0AE6 0E8B
09CB 0E6D
1774 1019
2826 0D99
0258 208F
1DC5 20B8
09E3 13EC
1E15 0EEB
0C99 0B48
0478 1A1F
1895 0A17
0922 0B13
1392 0506
0FAC 029C
18CF 003D
1594 0393
0C53 107E
16A6 064B
02C0 266F
116C 14AE
0FBD 0467
0206 0EDD
1ABD 199C
0255 0B86
003D 056D
132D 13AF
1519 0813
02D4 10CE
0EC9 0314
0055 0A8D
051E 1CDA
0802 0102
1C14 0BE0
24FF 1A48
2A74 1912
0322 151D
0113 0CB1
0233 1B1A
0FB9 0558
1E4F 0FD8
0B69 03C7
03A1 17BB
1EFA 0352
0ED8 0074
11BF 081F
063A 0CC7
246C 0CC8
186A 0D43
0FC9 070D
0E84 18FA
03CD 18DD
1441 010C
0034 2C99
02BB 154D
044A 01A5
0D52 21C9
1650 2CF5
0198 0C51
0E2B 066F
055F 0EF8
04CE 05F0
1201 0146
1016 1320
5108 10D9
133B 0D69
2186 136D
02BD 14BE
049D 1AF0
099B 0ED1
0F9A 0360
1DFB 20AE
027C 07FA
14F6 01AF
0EDB 0C25
09E5 0576
12E6 19AD
3BB8 08FD
0695 1B24
15CC 05E5
080E 003F
151E 08D8
0B25 04DA
0E02 19ED
078A 2FC9
0C56 12B0
048B 02B6
0F0B 2C78
0609 1296
1460 1DFD
2530 002E
08BB 1819
1712 0968
0937 046A
034D 0A46
1463 0E93
07AA 0146
0A1C 0211
00FE 0285
1201 0D86
008B 0291
0BCC 0797
0303 0F7C
03F0 038E
0638 0DA3
0403 0D6C
009B 208C
0876 16E4
1D3D 0036
0AA3 180D
12A2 1826
0684 0777
0BC8 07E6
0B03 20FF
02EF 0253
2787 1593
16EB 0BA1
0240 30BB
01F6 263B
11DC 0057
0B02 11BF
1576 10C0
0C8C 0E53
0761 0378
0FE2 26DA
1473 0ADF
2B9A 06B3
0A73 2CDE
2331 02B2
0D0D 01A6
2220 0357
0FD6 1205
081F 0110
0B3A 0687
099D 0868
057E 08EA
0D0C 141A
09D9 58A5
1387 079F
18AA 0784
108D 021F
22FB 01E1
04DC 06BC
0B11 194B
1DE8 128C
03B2 068C
08DD 01F5
0DE6 03B2
41D3 1899
0587 12BC
1C2A 0462
0166 022D
02CD 09CC
0665 0B63
39FC 2849
08DF 2CE5
0103 162F
0292 0B0B
6011 1A01
0511 0AA1
0756 08D3
187B 171C
0882 04C8
00CF 0445
018E 417C
0229 1431
1264 0D7C
04DB 0B9F
04E4 1668
0472 204E
0689 29BE
070F 2A16
09E1 0393
010F 0500
0E33 085E
016F 3BC3
0B69 13C2
110E 0D61
1565 14C3
01AA 3BB0
041A 1E87
0C2C 0BD7
112E 0D2E
0D65 05FB
046F 0624
1E59 0CC5
2351 0B20
051A 0FE0
0E13 02F5
28A7 03E7
0173 1CA7
0ECB 1331
12F5 0F2D
094B 0648
06C3 02E9
0164 1923
0C54 1F66
0944 005F
0536 1068
090D 006B
2C69 07BF
0BCB 1086
157E 0AF1
2D2D 0565
09A3 08A8
11E6 06CF
0277 1D3E
0BA8 1665
1B1D 07FC
175B 0673
16DE 03D0
0E61 14BE
0887 0841
0389 0E3E
0F8A 0386
064B 23AC
148A 0AFD
09B0 079F
0D88 00A3
016B 10DA
129F 074C
01C0 0996
02EA 1F18
076F 02C4
161F 0464
10BD 0DD3
13F6 01E6
2A7D 09B5
007F 3F8C
0E88 5284
02A4 1537
164F 034C
374D 00FE
056D 092B
0E15 06DC
191B 0E6B
168B 0FC4
372C 0815
0E34 269B
0F9F 0144
01C4 378D
28A2 1546
000F 286D
039C 46C0
04E0 01FA
1870 0792
2DE1 12F6
049D 04B5
2089 219B
1200 1D09
2C9A 0359
06CA 087F
3CCC 0978
1541 3041
04A2 0017
138A 0CEC
0A6D 3B29
061A 34FB
3A29 103F
27DA 0ACC
1083 069F
03CB 0CFD
2479 0677
0D33 004A
0D26 2E8D
1A5C 03A4
18D3 0243
0171 1A95
0565 002C
0770 2583
1689 0C70
0A41 025F
063D 08AB
0F35 1460
29F8 4971
4BE7 0213
08DB 1A2C
192A 06FB
0343 0B85
3068 022F
237E 0255
05A1 1C03
256E 0278
0F0D 0796
0008 25ED
0270 00AC
0164 1385
0859 0469
1E24 04D4
0140 02B7
13EF 13B8
0A6F 1727
044D 166A
0F1D 427C
0523 015A
01DD 1B96
04A1 2740
1120 31AF
0731 089F
163B 2157
0BA1 00FF
040B 0639
078F 12E9
2D6A 0467
0684 022B
0351 000A
00F6 2245
1620 06C7
19D0 18E6
03BD 0BD9
0465 1282
0CEA 0C30
044A 0675
0802 1E14
0450 12BE
02EA 19F6
022B 0A2D
5071 0200
01CE 118B
0046 0AFA
2754 023D
0874 062B
08A2 125A
0090 0AE0
031A 0E53
1294 0AE7
0C14 0E6E
0686 1380
03C0 1BEF
05BD 0016
100E 2CDA
1922 0417
149B 01DD
2224 27B2
0E18 07E4
1F07 0FE4
0001 19CC
1F5D 08EB
009A 0771
0D34 0621
05BA 0002
2327 1513
00F8 09DE
0318 06E1
0E5E 3B65
21D2 04C7
111A 0375
1A20 1B68
08C0 239E
132E 2080
00EA 0024
0EAC 1945
299B 1561
16B8 2190
264B 17FA
298C 08AE
158E 02F3
0108 011A
0596 146C
0B53 0133
0B4E 0123
0F0F 0935
0589 0925
5351 1A6F
0B8D 0E39
1486 2152
16A7 0543
1E24 03F9
0025 0781
2299 05B9
0B8D 009E
0838 02C2
0178 1F50
0469 05E1
01B9 04AB
0043 16C7
01E3 071D
0303 0158
13FA 1428
16C4 03E9
02E0 12DD
0495 00EC
038E 05F1
1E70 03CB
04E8 16F8
150A 0A55
0AF4 0EE3
1BD9 3010
07E9 07EF
0392 0D60
15A6 1106
020A 072E
1105 079C
007D 086D
0096 1DD4
1243 0892
1C14 0F86
2317 13D8
53E3 06E1
0830 0921
171F 27B8
197F 03F4
01BF 2F0B
09D6 04B4
1192 093C
117E 1AF5
210A 00B6
18A0 0989
0D15 0733
0488 0009
1834 08B8
04FA 057D
063A 18AE
0BF9 05AA
0A62 49C7
0245 268D
154F 00CF
161D 0BB7
11ED 0434
03D4 0FAC
1AFB 09F4
0034 04C5
1142 10FC
0BD7 0ABE
0369 31DD
04EB 19D1
31B3 076D
0FA9 082E
0AEE 01F7
16DF 09EC
2B5E 118D
0166 10D6
1909 052E
0726 0B30
26AC 0BD7
0D0A 0040
05E4 02BC
0F0B 01C6
01AB 0089
104E 05B6
1EA2 07FF
0931 16C0
06D6 1787
07F5 0091
094F 04AC
15A8 032C
0CE5 2765
1EDF 3DAA
46E7 03A8
0712 240E
0714 146B
03D1 2045
111F 173A
04F6 038B
02FC 1498
1873 0A3A
02F5 16E9
17B1 22CF
1C1B 1865
0BEC 3515
106F 015B
015A 0D14
01B5 04CD
298E 0725
15F9 004A
1727 2FF5
0585 03B7
0A34 35F2
09A1 24FA
0183 1078
08E7 1309
078D 0A50
0E68 07DE
00DB 041A
0CF3 1C58
2453 0137
0EC0 0854
09B7 0333
0908 475E
0067 2A2C
0B7C 02E0
0365 0C37
00FE 05B1
0016 06AF
0544 0C2C
0265 1306
063F 031A
0D2D 110A
02DF 0164
0041 11DE
06A1 059C
01AD 0024
1968 4A6F
2094 0B85
0ED4 0870
052E 0995
03DB 03A5
0A9A 0B19
2BFA 02FB
0B49 01C4
0475 0ECC
07FF 0BE6
0648 091E
0315 7625
0B89 0171
3393 07BD
00F5 09CD
6BE7 0395
122D 0596
206F 131F
02AC 180D
1887 03FC
2408 0132
1C74 09AA
157D 12D0
084F 0329
2FD3 0C85
0D86 1126
0B68 041B
19C2 0CC8
046D 0FE3
00C1 164A
02D1 06A3
006A 0134
0665 07A9
064D 0D37
0846 0544
1153 0041
1322 0060
0228 1810
09A3 0247
0369 0A3B
0257 06AF
370C 0461
1B05 0669
0A5D 058B
03D8 04BE
0E13 0F28
2397 0236
027B 05DC
2478 0918
03A7 0722
1C84 068E
0453 067E
1F2E 0047
0D05 10F6
039F 1B30
614C 0452
0F6B 1BC6
4FCB 202F
0576 021C
08CF 0B8C
00E3 0166
01C3 0454
0A94 0009
4A0E 0EBA
0CEF 04B7
0F94 07E3
00B7 076A
05CB 120C
15D2 03DC
14B7 0547
008C 02F8
0F71 1675
1A03 0C6B
077B 1761
0B5B 1C64
0214 0046
00DA 03A8
1BA0 268F
0283 05F2
0166 0AAB
2643 1189
3346 0EF0
0480 106D
01B0 1211
007B 16C1
03E4 0075
0B14 0427
029C 2A19
17BB 1312
1009 061B
2401 0B36
0E35 022C
027B 04DB
14CB 2090
2706 1E91
03E0 03DD
0EED 000B
1CA8 31FE
039E 11E1
0798 0B90
05C3 1990
1B95 1C88
095D 0255
14D5 09DB
0464 10C7
0315 13D7
0A6A 1C6A
1C72 15E2
1978 0247
08D5 120D
02BF 25E4
0022 0970
364F 0176
0C5E 0873
07CD 01F5
060B 0ABD
2D75 1A5F
1957 0D2E
0656 03CA
0E47 04F0
00D6 1D59
0BDE 02AF
1E5C 15EC
0C98 1211
161B 2468
13D2 0453
0614 0A66
0232 357A
00CC 012D
1E76 79E6
1291 0678
0082 00BE
07B2 0940
01D2 12C9
024E 0321
0FDB 0407
10E6 141A
14EE 3026
0B50 095C
525B 1119
297F 2C87
0CC4 118D
0143 601F
1A18 13CE
04CB 0E11
04B2 19AC
232A 02AF
0D81 0773
165C 017C
12F2 04CD
0622 19DB
2243 0976
0380 0BC4
0F91 3F17
236D 03EB
38F9 0527
06DA 33C1
0326 1EE1
021F 11BE
226A 00AB
1B1E 05AA
0910 0B7E
0EB6 05A3
125F 1304
09DE 06E8
1AF9 1ABF
25A4 196C
346D 1E04
0BA8 04EB
03F5 07E4
098F 155B
